"IntentContract","IntentEmail","Manip01","Manip02","Manip03","PriceQuality","PsychOwn01","PsychOwn02","PsychOwn03","PsychOwn04","GWA01","GWA02","GWA03","GWA04","CFC01","CFC02","CFC03","CFC04","CFC05","CFC06","CFC07","CFC08","CFC09","CFC10","CFC11","CFC12","CFC13","CFC14","BVO01","BVO02","BVO03","BVO04","Secure01","Secure02","Secure03","Secure04","Privacy01","Privacy02","Privacy03","Privacy04","BikeOwn","BikeShare","BikeStolen","CarLicense","CarAccess","BikeFreq","BikePurpose","BikeDuration","TravelMode","Travel01","Travel02","Travel03","dGender","YrBirth","dIBA","SatFac","HrPWork","HrVWork","HrClass","HrStud","cLiving","cLocate","dPreMas","dSports","dFraternity","dAssoc","dAbroad","Control01","Control02","Control03","SurveyDifficult","SurveyMotive","SurveyLike","SurveyBoring","SurveyClear"
71,80,2,1,2,3.72727272727273,4,7,3,3,2,2,2,1,3,2,4,4,3,4,4,3,4,4,4,4,3,3,4,3,4,3,2,4,3,1,2,2,2,2,1,1,2,2,2,2,1,15,4,3,1,1,2,1998,1,30,12,0,12,20,1,2,2,1,2,2,2,1,1,2,2,2,2,1,1
15,30,3,1,2,1.96153846153846,2,3,2,6,1,3,1,4,4,2,2,2,4,4,2,4,3,2,2,3,4,4,3,4,3,4,2,4,2,2,2,4,2,4,1,1,2,1,2,3,1,7,2,-2,-2,-3,1,1999,1,70,6,0,8,5,1,1,2,1,2,1,2,3,1,2,1,2,2,2,1
6,10,3,1,2,2.81818181818182,2,4,2,5,1,1,1,1,4,3,2,1,5,5,2,5,4,1,2,4,5,5,3,4,3,1,2,4,3,1,2,2,2,2,1,2,1,1,1,5,3,15,2,3,5,5,1,1997,1,55,36,0,0,1,2,1,2,2,1,1,2,3,1,2,2,1,2,1,1
1,1,3,2,1,1.47619047619048,1,1,1,7,1,4,1,4,5,4,2,1,4,4,4,2,2,2,1,3,5,4,4,4,4,4,3,4,2,3,2,3,2,2,1,2,2,1,2,2,1,15,4,-2,-5,1,2,1999,2,60,0,4,12,10,2,1,2,1,2,2,1,3,1,1,2,2,2,1,1
20,1,2,2,1,4.63636363636364,6,6,6,2,2,2,1,3,2,2,4,4,4,4,2,4,4,4,4,3,1,1,2,2,4,5,4,4,2,1,4,4,4,4,1,2,2,1,1,2,1,5,1,5,4,5,2,1997,1,41,0,0,4,6,1,4,2,1,1,2,2,3,2,1,2,2,2,1,1
9,7,3,1,3,1.76923076923077,2,2,1,7,2,1,2,3,4,2,3,1,4,3,4,4,3,2,3,4,4,2,6,6,6,5,2,5,3,1,2,2,3,2,1,2,1,1,1,2,1,20,4,0,-3,4,1,1997,1,12,0,0,6,5,1,2,2,2,2,2,1,3,1,4,2,1,1,2,1
16,27,1,1,3,2.23076923076923,3,3,2,3,1,1,2,2,4,4,4,4,2,5,4,4,2,3,5,4,4,4,6,6,5,6,2,3,2,2,2,4,4,2,1,2,1,1,1,2,2,12,4,2,2,5,1,1998,1,17,25,5,0,15,4,1,2,1,2,2,2,2,2,3,2,2,2,2,1
5,10,3,2,3,1,1,1,1,7,3,2,1,1,4,3,3,1,3,2,4,4,1,1,2,2,4,4,6,6,5,5,4,5,5,2,2,3,2,2,1,2,2,1,1,5,3,10,2,2,4,4,2,1999,1,65,11,0,11,16,3,3,2,2,2,2,2,3,2,3,2,1,2,1,1
41,40,3,2,3,0.368421052631579,3,4,2,5,1,2,3,3,4,3,3,1,3,4,3,3,3,3,1,3,5,3,5,5,6,4,3,5,4,3,3,3,3,3,2,2,2,2,2,1,3,25,2,3,5,3,1,1996,1,66,0,0,12,20,4,1,2,2,2,2,1,3,2,2,2,1,1,2,1
10,0,1,1,1,1.64516129032258,6,2,5,2,2,1,1,2,4,3,3,3,2,4,3,5,3,3,3,4,1,4,5,4,3,5,2,4,3,1,2,2,1,1,1,2,2,1,1,3,1,15,2,-2,3,4,1,1998,1,70,8,0,15,15,3,4,2,1,2,2,2,5,1,1,1,1,2,1,2
